證券代碼,年月日,上市別,TSE 產業別,收盤價(元),成交量(千股),成交值(千元),市值(百萬元),週轉率％,流通在外股數(千股),source_group,investor_class,daily_return,return_20d,volatility_20d,avg_turnover_value_20d,avg_turnover_rate_20d
1301 台塑,2014-01-02,TSE,03,48.8629,3594,287373,507986,0.0565,6365741,medium_investor,medium,,,,,
1301 台塑,2014-01-03,TSE,03,48.6792,4997,396621,506076,0.0785,6365741,medium_investor,medium,-0.0037594985152334948,,,,
1301 台塑,2014-01-06,TSE,03,48.373,4237,334102,502894,0.0666,6365741,medium_investor,medium,-0.006290160890072283,,,,
1301 台塑,2014-01-07,TSE,03,48.0056,3689,290816,499074,0.058,6365741,medium_investor,medium,-0.00759514605254985,,,,
1301 台塑,2014-01-08,TSE,03,47.7607,3512,275260,496528,0.0552,6365741,medium_investor,medium,-0.005101488159714673,,,,
1301 台塑,2014-01-09,TSE,03,48.2505,4894,385254,501620,0.0769,6365741,medium_investor,medium,0.010255293578192992,,,,
1301 台塑,2014-01-10,TSE,03,48.2505,3298,259765,501620,0.0518,6365741,medium_investor,medium,0.0,,,,
1301 台塑,2014-01-13,TSE,03,48.373,3822,302170,502894,0.06,6365741,medium_investor,medium,0.002538833794468287,,,,
1301 台塑,2014-01-14,TSE,03,48.1281,3334,261897,500347,0.0524,6365741,medium_investor,medium,-0.005062741612056221,,,,
1301 台塑,2014-01-15,TSE,03,48.373,4494,354749,502894,0.0706,6365741,medium_investor,medium,0.005088503389911292,,,,
1301 台塑,2014-01-16,TSE,03,48.4955,4919,390349,504167,0.0773,6365741,medium_investor,medium,0.0025324044404937407,,,,
1301 台塑,2014-01-17,TSE,03,48.1893,1671,131754,500984,0.0262,6365741,medium_investor,medium,-0.006313987895784079,,,,
1301 台塑,2014-01-20,TSE,03,48.373,2508,198364,502894,0.0394,6365741,medium_investor,medium,0.003812049562869735,,,,
1301 台塑,2014-01-21,TSE,03,48.6792,3144,248700,506076,0.0494,6365741,medium_investor,medium,0.006329977466768666,,,,
1301 台塑,2014-01-22,TSE,03,48.9853,5265,419996,509259,0.0827,6365741,medium_investor,medium,0.006288106624595224,,,,
