證券代碼,年月日,上市別,TSE 產業別,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),股價漲跌(元),外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),自營買賣超(千股),融資餘額(千元),融資增減(千元),融券餘額(千元),融券增減(千元)
Y9999 加權指數,2026/9/15,,,"45,847.27","46,009.85","45,491.97","45,511.49","8,228,715","634,706,804",-0.7654,0.4133,"797,553,620","148,878,913",-351.03,"-499,101","-50,071.93","35,939","-14,726","582,240,465","-1,637,144","22,354,081.51","-370,785.20"
2330 台積電,2026/9/15,TSE,24,"2,397.93","2,397.93","2,373.01","2,377.99","15,215","36,376,152",0.2101,0.0587,"25,932,370","61,848,703",5,"-4,227","-10,081.40",-14,351,"70,004,196.29","162,566.95",0,0
2454 聯發科,2026/9/15,TSE,24,"4,505","4,575","4,430","4,430","6,209","27,933,518",-2.8509,0.3869,"1,604,953","7,109,940",-130,"-1,000","-4,430",-19,35,"46,066,600.96","-269,921.49","148,456.82","-116,965.98"
3034 聯詠,2026/9/15,TSE,24,556,559,526,541,"3,608","1,946,657",-2.6978,0.5929,"608,511","329,205",-15,-473,-255.89,86,-66,"1,338,942.20","11,328.68","49,630.41","-2,157.84"
2308 台達電,2026/9/15,TSE,28,"1,590","1,715","1,585","1,670","14,802","24,912,933",3.0864,0.5698,"2,597,543","4,337,897",50,"1,847","3,084.49",-964,248,"16,619,323.81","-132,954.59","67,318.78","21,878.60"
3711 日月光投控,2026/9/15,TSE,24,601,608,592,592,"14,790","8,853,707",-3.268,0.3297,"4,485,648","2,655,504",-20,"-5,097","-3,017.42",-972,-74,"6,834,984.93","295,117.15","63,453.18","-14,366.76"
2345 智邦,2026/9/15,TSE,27,"1,870","1,895","1,830","1,840","2,272","4,228,856",-1.8667,0.4049,"561,118","1,032,457",-35,-536,-986.24,6,-18,"4,900,614.90","67,004.23","13,028.60",0
6669 緯穎,2026/9/15,TSE,25,"2,235","2,345","2,235","2,315","2,767","6,392,556",1.9824,0.4933,"560,891","1,298,463",45,-773,"-1,789.50",-8,327,"7,037,686.67","133,963.19","4,536,270.64","108,556.37"
2059 川湖,2026/9/15,TSE,28,"11,920","12,075","11,665","11,715",211,"2,508,624",-2.2936,0.2214,"95,297","1,116,405",-275,-42,-492.03,4,7,"7,920,598.11","-11,857.18","23,714.37",0
3008 大立光,2026/9/15,TSE,26,"6,015","6,195","5,930","6,055","2,988","18,102,787",1.0008,2.2844,"130,798","791,983",60,368,"2,228.24",-286,3,"23,301,709.86","-96,913.79","321,026.94","-308,912.71"
2379 瑞昱,2026/9/15,TSE,24,717,717,703,703,"1,859","1,317,522",-1.4025,0.3606,"515,513","362,405",-10,-60,-42.18,139,-40,"1,856,679.71","16,292.88","4,958.70",708.39
2303 聯電,2026/9/15,TSE,24,140.5,141,138,138.5,"102,009","14,225,802",-2.807,0.8115,"12,570,094","1,740,958",-4,"-23,400","-3,240.90","9,489",-601,"27,017,690.20","132,622.18","808,423.53","-43,789.03"
2382 廣達,2026/9/15,TSE,25,331,338,330.5,333,"7,988","2,667,055",0.1504,0.1945,"4,107,627","1,367,840",0.5,522,173.83,433,86,"4,956,271.94","-35,723.89","20,699.82",333.87
2317 鴻海,2026/9/15,TSE,31,247.5,250,246.5,246.5,"15,812","3,918,516",-0.8048,0.1123,"14,075,746","3,469,672",-2,"-2,393",-589.87,-91,318,"13,269,150.93","28,251.22","113,004.87","1,734.72"
2412 中華電,2026/9/15,TSE,27,143.5,143.5,142.5,143.5,"16,914","2,421,792",0.7018,0.218,"7,757,447","1,113,194",1,"11,836","1,698.47",-33,99,"307,842.38","-6,586.40","4,152.29",143.18
2603 長榮,2026/9/15,TSE,15,235,237,231.5,233.5,"6,962","1,627,111",-1.4768,0.3216,"2,165,043","505,538",-3.5,"-2,746",-641.19,"1,436",-101,"2,477,526.25","-53,280.13","80,153.89","-1,168.42"
1301 台塑,2026/9/15,TSE,03,62.1,62.5,61.2,62,"17,895","1,106,799",-1.4308,0.2811,"6,365,741","394,676",-0.9,"-5,810",-360.22,-5,-51,"1,154,977.79","13,482.47","43,910.80","-2,535.69"
3231 緯創,2026/9/15,TSE,25,181,184,181,182.5,"21,186","3,861,163",0.8287,0.6177,"3,429,842","625,946",1.5,"-1,692",-308.79,974,-131,"8,772,737.86","-31,529.08","78,184.82",-729
2356 英業達,2026/9/15,TSE,25,61.8,62.7,60.5,60.5,"9,229","566,109",-1.9449,0.2573,"3,587,475","217,042",-1.2,"-1,538",-93.05,-966,-108,"1,697,587.27","-1,165.46","17,359.25",-306.7
2301 光寶科,2026/9/15,TSE,25,281,286,273,274,"17,907","4,985,979",-1.2613,0.7732,"2,316,108","634,614",-3.5,"-3,201",-877.07,20,28,"4,607,610.64","77,679.82","35,359.63","-2,784.22"
2395 研華,2026/9/15,TSE,25,696,705,683,685,"3,502","2,424,818",2.2388,0.4029,"869,176","595,385",15,882,604.17,-10,43,"1,106,335.99","-70,617.19","30,462.32","3,461.63"
2881 富邦金,2026/9/15,TSE,17,154,154.5,149.5,151,"15,894","2,403,353",-1.9481,0.1135,"14,007,365","2,115,112",-3,"-4,299",-649.15,"1,808",156,"935,836.21","69,254","52,469.73","-5,141.13"
2882 國泰金,2026/9/15,TSE,17,113.5,114,109.5,110,"16,604","1,837,600",-2.2222,0.1132,"14,669,210","1,613,613",-2.5,"-6,082",-669.02,"1,243",198,"614,214.62","44,821.07","165,671.94","-5,533.47"
2886 兆豐金,2026/9/15,TSE,17,52.5,52.9,51.2,51.8,"20,370","1,052,602",-1.3333,0.1373,"14,833,378","768,369",-0.7,"-5,030",-260.55,"5,013",109,"112,389.43","13,590.08","2,325.30",-103.35
2891 中信金,2026/9/15,TSE,17,69.5,69.9,68.2,69.7,"59,318","4,105,999",2.3495,0.3015,"19,675,933","1,371,413",1.6,"13,797",961.65,"2,999",-250,"198,384.52","-21,527.42","4,637.74","2,007.38"
2892 第一金,2026/9/15,TSE,17,40.4,40.4,39.5,39.55,"30,707","1,220,030",-0.7528,0.2135,"14,379,469","568,708",-0.3,"-4,151",-164.17,"3,370",43,"647,612.04","223,803.60","5,482.85","-1,430.31"
2002 中鋼,2026/9/15,TSE,10,18.8,18.8,18.65,18.65,"30,609","572,343",-0.7979,0.1945,"15,734,861","293,455",-0.15,"-20,768",-387.32,-110,259,"719,637.62","12,135.13",710.53,-18.7
2884 玉山金,2026/9/15,TSE,17,46.3,46.5,45.3,45.65,"35,427","1,620,472",-1.5102,0.1999,"17,723,510","809,078",-0.7,"-9,521",-434.63,"4,558",487,"383,257.97",182.96,"12,670.06",-274.44
5880 合庫金,2026/9/15,TSE,17,27.55,27.55,26.8,27,"23,217","629,012",-1.6393,0.1444,"16,072,960","433,970",-0.45,"-4,900",-132.3,-46,"1,031","79,625.15","2,682.17","1,354.63",0
1216 統一,2026/9/15,TSE,02,74.9,74.9,73.9,74.5,"10,616","788,330",-0.134,0.1868,"5,682,015","423,310",-0.1,"-2,093",-155.93,-221,97,"67,050.10","4,900.67",0,0
4904 遠傳,2026/9/15,TSE,27,106.5,107.5,105.5,106.5,"4,578","487,439",0.4717,0.1269,"3,607,705","384,221",0.5,"1,247",132.81,-137,65,"66,539.75","1,916.34","3,193.91",0
Y9999 加權指數,2026/9/14,,,"46,010.74","46,050.24","45,398.43","45,862.52","8,822,022","665,316,266",-0.6979,0.4354,"797,553,814","150,030,197",-322.33,"-132,915","-27,077.66","45,901","-20,889","583,877,609","-3,993,571","22,721,012.85","492,713.24"
2330 台積電,2026/9/14,TSE,24,"2,385","2,395","2,380","2,380","21,520","51,353,895",-1.2448,0.083,"25,932,370","61,719,041",-30,"-11,191","-26,634.58",532,196,"69,711,241.42","746,889.11",0,0
2454 聯發科,2026/9/14,TSE,24,"4,475","4,650","4,435","4,560","6,122","27,871,493",-0.5453,0.3814,"1,604,953","7,318,584",-25,735,"3,351.60",106,11,"46,888,752.83","-145,673.80","268,586.06","-4,552.31"
3034 聯詠,2026/9/14,TSE,24,545,561,537,556,"3,546","1,965,075",1.6453,0.5827,"608,511","338,332",9,"1,861","1,034.72",6,103,"1,363,786.04","15,516.46","53,199.29","-2,770.80"
2308 台達電,2026/9/14,TSE,28,"1,560","1,630","1,560","1,620","9,470","15,227,775",0,0.3646,"2,597,543","4,208,020",0,308,498.96,-79,120,"16,005,527.33","-48,238.48","43,414.63","6,431.80"
3711 日月光投控,2026/9/14,TSE,24,599,620,596,612,"9,475","5,793,669",-0.9709,0.2112,"4,485,648","2,745,217",-6,-8,-4.9,22,-119,"6,679,637.86","-12,839.58","79,483.11","11,005.35"
2345 智邦,2026/9/14,TSE,27,"1,840","1,895","1,830","1,875","3,068","5,745,651",-0.5305,0.5468,"561,118","1,052,096",-10,325,609.38,-202,78,"4,862,664.61","16,851.74","13,106.91","-18,724.16"
6669 緯穎,2026/9/14,TSE,25,"2,315","2,315","2,240","2,270","1,985","4,517,740",-1.7316,0.3539,"560,891","1,273,222",-40,-337,-764.99,121,-29,"6,801,547.51","34,132.89","4,362,183.53","106,949.73"
2059 川湖,2026/9/14,TSE,28,"11,900","12,025","11,785","11,990",240,"2,864,664",-0.745,0.2518,"95,297","1,142,612",-90,10,119.9,1,-29,"7,982,923.11","23,865.24","23,865.24","11,932.62"
3008 大立光,2026/9/14,TSE,26,"6,395","6,420","5,995","5,995","2,655","16,166,958",-9.985,2.0298,"130,798","784,135",-665,172,"1,031.14",-84,-122,"23,518,236.43","-2,313,468.77","633,159.87","231,346.88"
2379 瑞昱,2026/9/14,TSE,24,690,732,686,713,"2,719","1,943,011",1.2784,0.5274,"515,513","367,561",9,"1,063",757.92,4,-8,"1,856,517.81","-41,446.51","4,287.57",714.6
2303 聯電,2026/9/14,TSE,24,136.5,143.5,135,142.5,"132,513","18,527,866",1.4235,1.0542,"12,570,094","1,791,238",2,"13,699","1,952.11","4,381",131,"26,955,145.73","-235,595.02","854,433.91","60,681.45"
2382 廣達,2026/9/14,TSE,25,330,334,328.5,332.5,"8,031","2,666,230",-1.1887,0.1955,"4,107,627","1,365,786",-4,300,99.75,257,11,"4,963,694.69","-25,562.10","20,250.49",331.98
2317 鴻海,2026/9/14,TSE,31,244.5,249.5,243.5,248.5,"25,260","6,232,907",0.2016,0.1795,"14,075,746","3,497,823",0.5,179,44.48,800,99,"13,183,350.26","-66,373.22","110,786.53","-21,713.17"
2412 中華電,2026/9/14,TSE,27,141,142.5,140.5,142.5,"18,796","2,659,548",1.4235,0.2423,"7,757,447","1,105,436",2,"11,849","1,688.48",87,-334,"310,712.26","-25,609.71","3,961.72",141.49
2603 長榮,2026/9/14,TSE,15,235,237,230.5,237,"12,908","3,037,132",1.0661,0.5962,"2,165,043","513,115",2.5,"-3,593",-851.54,"4,198",-354,"2,548,062.91","44,702.86","81,876.81","4,940.84"
1301 台塑,2026/9/14,TSE,03,63.7,63.8,61.5,62.9,"23,847","1,489,165",-2.6316,0.3746,"6,365,741","400,405",-1.7,"-9,539",-600,0,-660,"1,152,538.14","41,026.04","46,895.82","-6,182.01"
3231 緯創,2026/9/14,TSE,25,181,183,179.5,181,"36,189","6,560,002",-2.4259,1.0551,"3,429,842","620,801",-4.5,"-13,031","-2,358.61","1,228",-401,"8,756,991.75","-38,610.60","78,490.08","-17,401.96"
2356 英業達,2026/9/14,TSE,25,61,62.3,61,61.7,"8,218","506,348",-0.4839,0.2291,"3,587,475","221,347",-0.3,194,11.97,-2,96,"1,706,288.27","-4,004.79","17,744.31",-123.22
2301 光寶科,2026/9/14,TSE,25,273.5,281.5,272,277.5,"12,338","3,430,075",0.1805,0.5327,"2,316,108","642,720",0.5,"1,091",302.75,69,-518,"4,522,981.90","-34,193.41","38,085.34","3,057.95"
2395 研華,2026/9/14,TSE,25,663,684,653,670,"2,641","1,764,503",-0.5935,0.3039,"869,176","582,348",-4,143,95.81,25,-9,"1,135,723.25","31,399.41","26,054.83",668.07
2881 富邦金,2026/9/14,TSE,17,146.5,154.5,146,154,"19,008","2,882,893",3.7037,0.1357,"14,007,365","2,157,134",5.5,"4,520",696.08,509,462,"869,199.57","-4,701.66","57,784.86","6,218.32"
2882 國泰金,2026/9/14,TSE,17,109,114,108.5,112.5,"18,700","2,088,129",1.81,0.1275,"14,669,210","1,650,286",2,191,21.49,826,306,"574,509.74","-17,307.87","172,743.74","5,583.19"
2886 兆豐金,2026/9/14,TSE,17,51.4,52.5,51.1,52.5,"22,519","1,174,156",1.5474,0.1518,"14,833,378","778,752",0.8,"3,941",206.9,"3,063",-133,"99,692.06","22,837.41","2,450.59",0
2891 中信金,2026/9/14,TSE,17,67.1,68.1,66.5,68.1,"28,023","1,890,437",1.4903,0.1424,"19,675,933","1,339,931",1,"5,213",355.01,"3,131",77,"214,319.78","-12,817.36","2,563.47",134.92
2892 第一金,2026/9/14,TSE,17,38.55,40,38.55,39.85,"37,037","1,464,633",2.4422,0.2576,"14,379,469","573,022",0.95,"11,783",469.55,"3,923",183,"421,825.45","42,589.86","6,880.81",514.08
2002 中鋼,2026/9/14,TSE,10,18.9,18.95,18.75,18.8,"24,252","456,443",-0.5291,0.1541,"15,734,861","295,815",-0.1,"-13,085",-246,335,-567,"712,122.51","-5,702.55",733.99,-508.15
2884 玉山金,2026/9/14,TSE,17,46.25,46.4,45.2,46.35,"42,521","1,951,650",0.108,0.2399,"17,723,510","821,485",0.05,"-13,037",-604.26,"4,386",-293,"384,394.08","19,736.05","12,989.08","-1,193.34"
