證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),報酬率％,股價漲跌(元),成交量(千股),外資買賣超(千股),自營買賣超(千股),投信買賣超(千股),合計買賣超(千股),融資餘額(張),融券餘額(張),券資比
Y9999 加權指數,2026/7/31,"41,610.41","43,214.36","41,610.41","43,119.75",7.9794,"3,186.45","13,813,496","474,975","61,972","63,221","600,168","9,144,265","188,324",2.06
2330 台積電,2026/7/31,"2,350","2,425","2,345","2,425",9.9773,220,"69,478","13,780","2,725","7,064","23,569","29,289",124,0.42
2454 聯發科,2026/7/31,"3,555","3,555","3,555","3,555",9.8918,320,"4,033","-1,340",23,118,"-1,199","10,016",39,0.39
2308 台達電,2026/7/31,"1,680","1,680","1,590","1,640",7.1895,110,"31,456","-6,105",523,"1,947","-3,636","8,562",46,0.54
3034 聯詠,2026/7/31,530,531,504,519,5.7026,28,"7,502",813,-44,415,"1,185","2,362",22,0.93
2382 廣達,2026/7/31,299,299,285,291.5,4.4803,12.5,"49,270","-4,083",131,840,"-3,112","15,889",148,0.93
2881 富邦金,2026/7/31,128,131,127,130,4.8387,6,"32,956","7,426","1,172","3,198","11,796","6,782",234,3.45
2303 聯電,2026/7/31,121,121,121,121,10,11,"45,464","-21,658",32,23,"-21,603","160,306","3,601",2.25
2317 鴻海,2026/7/31,245,252,242.5,250.5,9.1503,21,"99,413","49,858","3,015","3,505","56,378","50,864",322,0.63
2412 中華電,2026/7/31,140.5,140.5,138.5,139.5,-0.7117,-1,"23,664","6,775",199,"1,639","8,613","4,485",277,6.18
2882 國泰金,2026/7/31,97,102.5,96.8,101.5,6.6176,6.3,"41,391","16,253","1,206","2,237","19,696","4,708",262,5.56
2886 兆豐金,2026/7/31,49.6494,51.7703,49.1674,51.1919,3.1068,1.6,"43,556","6,830","1,417","2,745","10,991","1,363",93,6.82
2891 中信金,2026/7/31,64.5,65.5,63.6,64.9,2.8526,1.8,"48,156","17,301","1,434","2,321","21,056","3,849",32,0.83
