證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),股價漲跌(元),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),流通在外股數(千股)_1,融資餘額(千元),融券餘額(千元),融資增減(千元),融券增減(千元),外資買賣超市值(百萬),TSE 產業別,上市別,券資比
2330 台積電,2026/9/15,"2,397.93","2,397.93","2,373.01","2,377.99","15,215","36,376,152",0.2101,0.0587,"25,932,370","61,848,703",5,"-4,227",-14,351,"25,932,370",,,,,"-10,081.40",24,TSE,
2454 聯發科,2026/9/15,"4,505","4,575","4,430","4,430","6,209","27,933,518",-2.8509,0.3869,"1,604,953","7,109,940",-130,"-1,000",-19,35,"1,604,953",,,,,"-4,430",24,TSE,
3034 聯詠,2026/9/15,556,559,526,541,"3,608","1,946,657",-2.6978,0.5929,"608,511","329,205",-15,-473,86,-66,"608,511",,,,,-255.89,24,TSE,
2308 台達電,2026/9/15,"1,590","1,715","1,585","1,670","14,802","24,912,933",3.0864,0.5698,"2,597,543","4,337,897",50,"1,847",-649,248,"2,597,543",,,,,"3,084.49",28,TSE,
3711 日月光投控,2026/9/15,601,608,592,592,"14,790","8,853,707",-3.268,0.3297,"4,485,648","2,655,504",-20,"-5,097",-962,-74,"4,470,572",,,,,"-3,017.42",24,TSE,
2345 智邦,2026/9/15,"1,870","1,895","1,830","1,840","2,272","4,228,856",-1.8667,0.4049,"561,118","1,032,457",-35,-536,6,-18,"561,118",,,,,-986.24,27,TSE,
6669 緯穎,2026/9/15,"2,235","2,345","2,235","2,315","2,767","6,392,556",1.9824,0.4933,"560,891","1,298,463",45,-773,0,327,"185,841",,,,,"-1,789.50",25,TSE,
2059 川湖,2026/9/15,"11,920","12,075","11,665","11,715",211,"2,508,624",-2.2936,0.2214,"95,297","1,116,405",-275,-42,4,7,"95,297",,,,,-492.03,28,TSE,
3008 大立光,2026/9/15,"6,015","6,195","5,930","6,055","2,988","18,102,787",1.0008,2.2844,"130,798","791,983",60,368,-286,3,"130,798",,,,,"2,228.24",26,TSE,
2379 瑞昱,2026/9/15,717,717,703,703,"1,859","1,317,522",-1.4025,0.3606,"515,513","362,405",-10,-60,139,-40,"515,513",,,,,-42.18,24,TSE,
2303 聯電,2026/9/15,140.5,141,138,138.5,"102,009","14,225,802",-2.807,0.8115,"12,570,094","1,740,958",-4,"-23,400","7,432",-601,"12,570,094",,,,,"-3,240.90",24,TSE,
2382 廣達,2026/9/15,331,338,330.5,333,"7,988","2,667,055",0.1504,0.1945,"4,107,627","1,367,840",0.5,522,433,86,"4,107,627",,,,,173.83,25,TSE,
2317 鴻海,2026/9/15,247.5,250,246.5,246.5,"15,812","3,918,516",-0.8048,0.1123,"14,075,746","3,469,672",-2,"-2,393",-26,318,"14,028,649",,,,,-589.87,31,TSE,
2412 中華電,2026/9/15,143.5,143.5,142.5,143.5,"16,914","2,421,792",0.7018,0.218,"7,757,447","1,113,194",1,"11,836",-33,99,"7,757,447",,,,,"1,698.47",27,TSE,
2603 長榮,2026/9/15,235,237,231.5,233.5,"6,962","1,627,111",-1.4768,0.3216,"2,165,043","505,538",-3.5,"-2,746","1,436",-101,"2,165,043",,,,,-641.19,15,TSE,
1301 台塑,2026/9/15,62.1,62.5,61.2,62,"17,895","1,106,799",-1.4308,0.2811,"6,365,741","394,676",-0.9,"-5,810",-5,-51,"6,365,741",,,,,-360.22,03,TSE,
3231 緯創,2026/9/15,181,184,181,182.5,"21,186","3,861,163",0.8287,0.6177,"3,429,842","625,946",1.5,"-1,692",974,-131,"3,430,052",,,,,-308.79,25,TSE,
2356 英業達,2026/9/15,61.8,62.7,60.5,60.5,"9,229","566,109",-1.9449,0.2573,"3,587,475","217,042",-1.2,"-1,538",-966,-108,"3,587,475",,,,,-93.05,25,TSE,
2301 光寶科,2026/9/15,281,286,273,274,"17,907","4,985,979",-1.2613,0.7732,"2,316,108","634,614",-3.5,"-3,201",20,28,"2,316,108",,,,,-877.07,25,TSE,
2395 研華,2026/9/15,696,705,683,685,"3,502","2,424,818",2.2388,0.4029,"869,176","595,385",15,882,-10,43,"868,254",,,,,604.17,25,TSE,
2881 富邦金,2026/9/15,154,154.5,149.5,151,"15,894","2,403,353",-1.9481,0.1135,"14,007,365","2,115,112",-3,"-4,299","1,808",156,"14,007,365",,,,,-649.15,17,TSE,
2882 國泰金,2026/9/15,113.5,114,109.5,110,"16,604","1,837,600",-2.2222,0.1132,"14,669,210","1,613,613",-2.5,"-6,082","1,243",198,"14,669,210",,,,,-669.02,17,TSE,
2886 兆豐金,2026/9/15,52.5,52.9,51.2,51.8,"20,370","1,052,602",-1.3333,0.1373,"14,833,378","768,369",-0.7,"-5,030","5,013",109,"14,833,378",,,,,-260.55,17,TSE,
2891 中信金,2026/9/15,69.5,69.9,68.2,69.7,"59,318","4,105,999",2.3495,0.3015,"19,675,933","1,371,413",1.6,"13,797","2,815",-250,"19,675,933",,,,,961.65,17,TSE,
