靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),戈禦芥禬カ(κ窾),磕戈緇肂(じ),磕ㄩ緇肂(じ)
Y9999 舦计,2026/9/18,"47,180.75","12,052,158","1,142,321,910","83,855.60","594,039,480","24,364,725.04"
Y9999 舦计,2026/9/17,"46,288","10,710,347","866,619,179","11,683.98","589,397,267","23,227,251.04"
Y9999 舦计,2026/9/16,"45,848.90","8,352,607","675,969,528","-13,124.82","586,168,547","22,054,549.71"
Y9999 舦计,2026/9/15,"45,511.49","8,228,715","634,706,804","-50,071.93","582,240,465","22,354,081.51"
Y9999 舦计,2026/9/14,"45,862.52","8,822,022","665,316,266","-27,077.66","583,877,609","22,721,012.85"
Y9999 舦计,2026/9/11,"46,184.85","10,111,607","762,245,189","-76,935.58","587,871,180","22,585,591.28"
Y9999 舦计,2026/9/10,"46,940.49","8,675,764","750,742,811","-35,802.81","591,897,687","23,476,491"
Y9999 舦计,2026/9/9,"47,183.36","9,258,080","815,976,678","18,040.19","587,166,811","23,645,437.14"
Y9999 舦计,2026/9/8,"47,105.78","9,521,469","922,658,079","11,522.36","586,266,976","23,912,352.33"
Y9999 舦计,2026/9/7,"47,326.27","11,024,654","997,944,843","80,036.90","588,271,579","23,977,559.81"
Y9999 舦计,2026/9/4,"46,551.13","9,267,046","858,244,966","49,744.80","581,894,588","24,123,937.79"
Y9999 舦计,2026/9/3,"45,857.66","11,201,667","993,261,606","-40,412.19","578,739,307","26,672,304.25"
Y9999 舦计,2026/9/2,"46,164.72","10,824,863","976,499,979","-81,181.04","585,675,285","24,246,313.61"
Y9999 舦计,2026/9/1,"46,948.72","13,000,849","1,187,571,567","4,752.56","578,115,458","21,520,003.62"
Y9999 舦计,2026/8/31,"46,128.47","13,539,824","1,289,228,143","-10,667.69","569,876,903","23,736,348.68"
Y9999 舦计,2026/8/28,"46,331.45","11,093,847","1,068,985,392","30,477.50","567,177,536","21,738,461.68"
Y9999 舦计,2026/8/27,"45,975.22","10,576,672","967,466,055","44,936.91","559,918,784","20,878,487.82"
Y9999 舦计,2026/8/26,"45,832.62","9,809,666","843,092,483","30,708.37","554,802,585","19,939,094.51"
Y9999 舦计,2026/8/25,"45,169.46","8,831,346","724,258,445","4,913.18","546,937,698","17,948,583.86"
Y9999 舦计,2026/8/24,"44,762.32","8,082,548","656,280,679","-11,146.76","545,259,587","18,786,436.36"
Y9999 舦计,2026/8/21,"45,224.29","8,208,832","754,905,335","29,157.77","546,939,324","18,794,098.73"
Y9999 舦计,2026/8/20,"44,933.74","9,068,926","834,412,514","10,253.41","548,407,734","18,545,401.08"
Y9999 舦计,2026/8/19,"44,719.35","10,230,116","890,269,743","-36,890.23","548,190,238","17,399,269.17"
Y9999 舦计,2026/8/18,"45,308.68","10,333,808","1,007,881,760","-10,243.88","547,011,854","19,410,072.62"
Y9999 舦计,2026/8/17,"45,857.27","10,616,088","981,055,134","41,056.60","550,101,672","19,945,196.73"
Y9999 舦计,2026/8/14,"45,811.01","11,975,502","1,109,746,702","35,170.47","547,059,318","20,387,603.32"
Y9999 舦计,2026/8/13,"46,021.48","11,492,166","1,104,024,642","66,541.53","549,780,654","20,671,040.09"
Y9999 舦计,2026/8/12,"45,518.07","9,972,596","892,659,784","6,693.52","548,083,912","19,488,663.31"
Y9999 舦计,2026/8/11,"45,120.72","9,740,372","902,052,207","20,498.68","544,151,977","19,470,554.04"
Y9999 舦计,2026/8/10,"44,928.76","10,238,975","880,440,723","48,769.61","545,295,561","19,437,671.76"
Y9999 舦计,2026/8/7,"44,225.91","9,376,069","850,815,189","-33,814.31","537,664,510","17,915,038.07"
Y9999 舦计,2026/8/6,"44,396.70","10,650,583","974,054,973","4,332.55","532,804,981","17,998,313.73"
Y9999 舦计,2026/8/5,"44,611.60","13,207,451","1,200,212,510","70,035.11","523,492,321","18,397,182.65"
Y9999 舦计,2026/8/4,"43,360.66","11,340,636","1,087,045,875","-10,840.23","521,134,665","16,726,073.92"
Y9999 舦计,2026/8/3,"43,386.41","11,427,047","885,506,043","-31,026.77","514,755,353","14,955,143.56"
Y9999 舦计,2026/7/31,"43,119.75","13,813,496","887,732,405","26,556.76","507,462,771","13,632,116.59"
Y9999 舦计,2026/7/30,"39,933.30","13,692,579","1,146,937,829","-40,121.60","493,865,783","13,445,072.99"
Y9999 舦计,2026/7/29,"40,039.18","17,045,019","1,149,185,294","-3,508.09","507,010,017","15,069,011.02"
Y9999 舦计,2026/7/28,"41,603.36","12,544,360","872,574,999","-59,596.23","545,533,645","17,525,855.28"
Y9999 舦计,2026/7/27,"43,634.19","8,980,078","747,647,200","8,484.51","568,663,408","12,289,570.48"
Y9999 舦计,2026/7/24,"43,654.84","9,573,393","827,129,512","-51,410.55","577,059,338","15,616,941.08"
Y9999 舦计,2026/7/23,"44,850.81","9,701,104","930,612,067","5,689.70","582,626,349","16,349,060.38"
Y9999 舦计,2026/7/22,"44,825.78","11,296,458","1,025,958,396","5,326.90","582,823,676","15,694,671.70"
Y9999 舦计,2026/7/21,"44,232.87","10,050,212","866,251,695","-8,801.87","576,496,212","13,184,133.29"
Y9999 舦计,2026/7/20,"42,449.70","12,566,601","1,041,457,434","3,631.61","569,035,380","11,827,365.06"
Y9999 舦计,2026/7/17,"42,671.27","18,244,071","1,333,156,652","-142,823.20","587,963,142","17,240,648.78"
Y9999 舦计,2026/7/16,"45,624.98","10,374,680","933,180,942","-41,872.12","615,575,992","13,870,793.91"
Y9999 舦计,2026/7/15,"45,631.59","10,421,924","1,024,385,500","-11,504.35","615,388,784","13,388,315.69"
Y9999 舦计,2026/7/14,"44,737.95","15,548,656","1,245,206,538","-31,071.15","604,033,934","12,427,055.23"
Y9999 舦计,2026/7/13,"45,380.52","11,168,410","1,067,662,107","-9,592.38","618,300,058","13,979,524.29"
Y9999 舦计,2026/7/9,"45,354.61","10,483,502","996,789,429","-48,273.80","619,648,244","13,914,516.79"
Y9999 舦计,2026/7/8,"45,734.41","11,331,191","1,004,560,446","-32,022.36","613,815,722","13,005,504.40"
Y9999 舦计,2026/7/7,"45,479.11","15,447,467","1,228,119,421","-34,508.38","610,945,242","14,417,127.92"
Y9999 舦计,2026/7/6,"46,556.39","12,910,602","1,064,431,906","-19,627.84","631,344,856","14,420,390.21"
Y9999 舦计,2026/7/3,"46,780.62","12,189,040","1,078,028,137","-75,540.18","630,817,367","14,506,044.44"
Y9999 舦计,2026/7/2,"46,744.16","11,740,053","1,083,583,417","-79,509.85","620,837,289","15,006,165.88"
Y9999 舦计,2026/7/1,"47,018.99","14,683,404","1,367,817,795","24,024.84","609,502,407","15,575,059.73"
Y9999 舦计,2026/6/30,"46,125.91","13,140,347","1,266,062,228","-15,671.77","611,652,207","15,614,679.02"
Y9999 舦计,2026/6/29,"44,999.90","11,210,546","1,045,439,448","-2,816.80","594,229,687","16,095,081.52"
Y9999 舦计,2026/6/26,"44,571.76","16,709,688","1,672,832,488","-108,102.90","590,926,517","16,866,511.16"
Y9999 舦计,2026/6/25,"46,255.26","13,456,150","1,368,076,901","-40,182.05","611,000,560","16,800,703.71"
Y9999 舦计,2026/6/24,"46,043.60","16,786,237","1,539,046,268","-151,109.35","607,456,271","16,308,493.17"
Y9999 舦计,2026/6/23,"47,100.65","16,666,417","1,672,355,337","-30,186.92","593,930,024","18,006,035.26"
Y9999 舦计,2026/6/22,"47,741.51","15,727,229","1,515,817,959","63,818.06","605,041,986","18,786,591.28"
Y9999 舦计,2026/6/18,"46,465.20","16,336,544","1,606,195,402","5,537.02","593,046,092","18,014,608.10"
Y9999 舦计,2026/6/17,"45,877.39","12,227,191","1,154,595,951","-23,706.10","584,760,128","16,244,967.71"
Y9999 舦计,2026/6/16,"45,809.19","12,388,176","1,262,185,518","35,338.30","571,307,649","16,121,648.67"
Y9999 舦计,2026/6/15,"45,396.99","12,695,045","1,115,744,351","33,512.39","571,904,853","15,737,931.69"
Y9999 舦计,2026/6/12,"44,169.04","12,336,471","1,169,186,958","20,709.80","557,027,949","15,895,682.97"
Y9999 舦计,2026/6/11,"43,149.46","14,433,302","1,338,516,691","-24,317.68","549,176,982","14,576,119.63"
Y9999 舦计,2026/6/10,"43,225.54","15,773,244","1,424,069,567","-75,466.69","546,812,469","15,626,741.75"
Y9999 舦计,2026/6/9,"44,704.44","14,106,451","1,224,062,987","-92,796.73","563,876,896","15,220,696.51"
