證券代碼,年月日,上市別,TSE 產業別,收盤價(元),成交量(千股),成交值(千元),市值(百萬元),週轉率％,流通在外股數(千股),source_group,research_industry_group
2330 台積電,2025-12-31,TSE,24,1540.83,31389,48402721,40195413,0.121,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-31,TSE,24,1394.47,6748,9686222,2293594,0.4207,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-31,TSE,24,358.1293,6405,2420900,227583,1.0526,608511,semiconductor,semiconductor
2303 聯電,2025-12-31,TSE,24,48.4207,25921,1278246,619967,0.2059,12588156,semiconductor,semiconductor
2330 台積電,2025-12-30,TSE,24,1511.01,21819,33198645,39417437,0.0841,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-30,TSE,24,1384.72,4492,6361456,2277555,0.2801,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-30,TSE,24,358.6081,3157,1184904,227888,0.5188,608511,semiconductor,semiconductor
2303 聯電,2025-12-30,TSE,24,48.6665,26508,1314851,623114,0.2106,12588156,semiconductor,semiconductor
2330 台積電,2025-12-29,TSE,24,1520.95,24010,36576386,39676763,0.0926,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-29,TSE,24,1384.72,6672,9424111,2277555,0.416,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-29,TSE,24,360.5232,2011,757240,229105,0.3305,608511,semiconductor,semiconductor
2303 聯電,2025-12-29,TSE,24,48.8139,24205,1201944,625002,0.1923,12588156,semiconductor,semiconductor
2330 台積電,2025-12-26,TSE,24,1501.07,20806,31326715,39158112,0.0802,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-26,TSE,24,1350.59,3219,4464817,2221418,0.2007,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-26,TSE,24,357.6505,1334,498949,227279,0.2192,608511,semiconductor,semiconductor
2303 聯電,2025-12-26,TSE,24,49.1089,40876,2035954,628778,0.3247,12588156,semiconductor,semiconductor
2330 台積電,2025-12-24,TSE,24,1486.16,13707,20441056,38769124,0.0529,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-24,TSE,24,1345.71,3385,4693020,2213399,0.211,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-24,TSE,24,361.002,1468,555347,229409,0.2412,608511,semiconductor,semiconductor
2303 聯電,2025-12-24,TSE,24,48.8139,47846,2373627,625002,0.3801,12588156,semiconductor,semiconductor
2330 台積電,2025-12-23,TSE,24,1481.19,22337,33151333,38639462,0.0861,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-23,TSE,24,1355.47,5671,7875954,2229438,0.3536,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-23,TSE,24,358.6081,1337,501965,227888,0.2197,608511,semiconductor,semiconductor
2303 聯電,2025-12-23,TSE,24,49.1581,46416,2320672,629408,0.3687,12588156,semiconductor,semiconductor
2330 台積電,2025-12-22,TSE,24,1456.34,23919,34974497,37991148,0.0922,25932525,semiconductor,semiconductor
2454 聯發科,2025-12-22,TSE,24,1365.22,6073,8518761,2245477,0.3786,1603912,semiconductor,semiconductor
3034 聯詠,2025-12-22,TSE,24,361.002,1806,680664,229409,0.2968,608511,semiconductor,semiconductor
