年月日,成交量(千股),成交值(千元),外資買賣超市值(百萬),融券餘額(千元),融資餘額(千元)
2025-12-31,"9,768,832","548,425,314","-3,863,790","26,782,938.74","343,409,624"
2025-12-30,"8,876,360","469,871,782","3,114,650","26,596,368.81","341,367,697"
2025-12-29,"8,569,606","469,061,962","4,517,910","26,349,895.66","339,886,882"
2025-12-26,"8,084,220","443,994,479","5,794,780","26,491,548.24","340,337,182"
2025-12-24,"7,899,870","439,061,668","-4,919,820","25,889,614.07","338,902,814"
2025-12-23,"7,965,662","431,994,260","-11,783,070","24,994,162.91","337,588,452"
2025-12-22,"8,984,157","504,472,490","20,299,000","24,974,583.72","335,196,079"
2025-12-19,"9,145,168","568,327,509","-1,784,800","24,841,773.37","333,308,737"
2025-12-18,"8,450,315","460,035,955","-22,948,280","24,318,059.18","332,380,151"
2025-12-17,"9,020,647","524,829,243","-36,013,100","24,693,434.35","332,174,898"
2025-12-16,"9,586,999","547,186,167","-50,295,700","24,471,354.52","328,789,479"
2025-12-15,"7,855,274","451,740,486","-41,340,440","26,391,596.34","331,859,338"
2025-12-12,"8,508,400","488,652,979","16,225,480","27,396,489.22","329,349,582"
2025-12-11,"8,087,246","537,128,803","-16,535,610","27,365,572.57","326,671,838"
2025-12-10,"8,239,950","509,141,432","20,184,970","27,011,932.94","327,694,562"
2025-12-09,"8,116,345","524,525,111","-5,577,190","27,043,236.31","326,884,256"
2025-12-08,"7,603,908","438,297,179","13,258,240","26,719,088.62","324,739,047"
2025-12-05,"6,781,520","457,238,821","35,897,360","26,220,682.15","322,916,606"
2025-12-04,"6,475,222","397,985,953","10,339,030","25,121,295.53","322,826,443"
2025-12-03,"6,838,633","457,284,590","15,778,370","25,189,172.67","321,425,021"
2025-12-02,"7,321,099","486,538,825","13,561,230","25,627,112.49","319,737,063"
2025-12-01,"7,418,235","493,440,574","-20,239,420","25,530,198.99","319,360,271"
2025-11-28,"7,671,742","489,885,964","-19,000,660","26,005,012.80","317,182,219"
2025-11-27,"7,539,156","506,517,208","11,533,450","25,848,766.90","314,005,988"
2025-11-26,"7,902,773","523,531,629","12,185,410","25,205,716.61","311,060,405"
2025-11-25,"6,714,625","490,750,703","5,832,180","26,084,386.40","311,368,884"
2025-11-24,"9,236,525","749,163,116","-27,811,040","24,511,231.19","306,380,132"
2025-11-21,"8,853,582","581,860,848","-77,503,750","23,859,007.98","303,707,640"
2025-11-20,"8,497,528","592,368,253","14,174,650","26,809,564.76","309,665,154"
2025-11-19,"8,069,342","516,180,089","-20,146,970","25,367,089.46","306,204,612"
2025-11-18,"10,450,443","672,757,035","-34,966,730","26,684,567.87","306,328,549"
2025-11-17,"8,604,107","547,722,102","8,586,100","27,703,508.48","311,090,494"
2025-11-14,"9,939,352","614,575,227","-48,709,710","27,089,802.85","311,008,013"
2025-11-13,"10,545,273","674,189,961","-4,724,660","28,543,905.63","313,950,396"
2025-11-12,"8,954,069","576,091,990","-8,908,960","28,343,203.70","312,952,699"
2025-11-11,"8,924,063","584,494,820","-15,358,560","28,484,214.31","309,815,211"
2025-11-10,"7,491,028","504,213,278","-2,672,960","27,815,292.07","310,127,766"
2025-11-07,"7,878,592","486,727,226","-28,934,540","26,663,941.90","307,760,711"
2025-11-06,"7,863,001","514,272,235","-5,176,760","26,994,768.96","307,909,118"
2025-11-05,"8,989,778","619,346,788","-47,594,750","25,042,541.71","302,885,861"
2025-11-04,"8,404,740","604,283,395","-3,534,290","27,191,420.62","300,318,118"
2025-11-03,"8,299,689","581,496,914","-4,618,720","28,246,572.36","304,336,086"
2025-10-31,"8,339,995","576,144,513","-27,950,750","27,540,156.53","301,750,936"
2025-10-30,"9,446,378","633,558,030","2,846,140","28,101,845.13","298,392,446"
2025-10-29,"9,076,231","594,219,629","5,087,560","28,178,543.48","300,589,167"
2025-10-28,"8,579,810","555,663,566","-23,315,800","27,467,357.59","296,373,285"
2025-10-27,"9,337,097","564,293,629","27,253,260","27,308,089.68","295,984,232"
2025-10-23,"7,318,554","434,561,455","-17,508,060","25,935,659.28","292,588,808"
2025-10-22,"7,835,590","463,157,561","-18,434,440","25,985,699.32","292,885,334"
2025-10-21,"8,507,303","528,880,140","2,948,010","26,291,943.68","290,984,087"
2025-10-20,"8,045,886","498,961,206","15,855,890","26,072,472.09","289,524,473"
2025-10-17,"8,962,849","556,452,817","-15,454,030","25,534,346.59","285,198,688"
2025-10-16,"9,035,460","565,481,652","12,072,590","25,208,478.59","285,280,346"
2025-10-15,"8,387,861","521,429,411","-12,271,940","23,662,608.66","280,251,490"
2025-10-14,"12,066,540","709,086,353","-12,651,530","23,103,700.54","275,345,144"
2025-10-13,"10,191,083","608,460,235","-44,153,120","23,227,080.05","283,166,809"
2025-10-09,"9,444,331","582,670,484","5,535,670","25,378,770.66","285,612,707"
2025-10-08,"8,261,189","471,275,287","-11,873,890","24,160,416.69","283,589,248"
2025-10-07,"9,348,656","575,780,610","216,300","24,781,110.23","283,226,471"
2025-10-03,"7,784,825","480,095,576","18,262,860","24,043,835.16","281,879,913"
2025-10-02,"8,085,314","506,683,446","20,045,260","23,174,029.59","278,985,046"
2025-10-01,"7,679,791","468,840,061","12,833,250","22,371,041.81","276,236,855"
2025-09-30,"6,699,602","455,296,213","3,982,890","21,254,448.24","275,429,159"
2025-09-26,"8,334,201","500,052,396","-17,406,820","20,181,106.06","271,547,444"
2025-09-25,"8,846,470","503,204,151","407,220","22,681,688.51","275,265,205"
2025-09-24,"7,897,848","515,187,636","-13,277,870","22,465,047.54","274,650,726"
2025-09-23,"8,950,246","547,004,847","9,770,480","22,763,600.04","272,801,313"
2025-09-22,"7,847,993","482,061,403","-7,655,070","22,767,225.29","272,458,389"
2025-09-19,"9,787,714","619,694,769","-14,543,780","22,887,197.79","268,834,779"
2025-09-18,"8,339,290","467,374,300","13,054,940","23,015,939.68","266,808,583"
2025-09-17,"7,849,906","439,687,060","-4,348,850","22,425,937.37","264,869,284"
2025-09-16,"7,560,459","455,107,630","28,035,700","22,432,149.66","265,856,690"
2025-09-15,"6,958,333","407,891,369","2,133,990","21,876,313.73","264,210,665"
2025-09-12,"7,830,621","495,051,339","25,006,470","23,104,475.48","265,614,872"
2025-09-11,"9,553,641","609,494,103","31,239,490","22,959,228.45","265,854,797"
2025-09-10,"8,693,632","540,470,187","43,800,150","22,830,867.79","269,963,070"
2025-09-09,"8,091,742","512,534,389","32,345,320","22,351,710.62","267,536,355"
2025-09-08,"7,768,998","443,185,374","11,552,610","22,632,613.67","266,510,445"
2025-09-05,"6,973,379","426,569,974","25,694,360","22,696,368.71","264,502,119"
2025-09-04,"7,455,297","450,547,881","10,663,700","21,912,512.81","261,541,660"
2025-09-03,"6,215,237","375,154,827","8,632,790","21,684,124.68","261,032,834"
2025-09-02,"6,868,073","420,249,878","8,590,130","20,467,335.42","259,012,527"
2025-09-01,"7,882,519","522,538,354","-4,737,950","21,891,335.90","259,146,921"
2025-08-29,"7,716,714","478,348,167","-9,613,600","22,755,980.91","262,327,206"
2025-08-28,"7,619,400","449,197,099","-8,926,330","22,137,815.04","260,232,173"
2025-08-27,"7,675,360","467,302,614","-1,992,980","21,562,791.99","258,305,814"
2025-08-26,"8,259,451","532,063,118","-12,565,180","21,800,690.25","255,260,819"
2025-08-25,"7,201,907","431,825,644","21,701,780","21,373,579.38","253,933,965"
2025-08-22,"6,571,719","369,732,364","-14,889,760","19,186,366.06","251,544,566"
2025-08-21,"6,990,398","420,673,855","-9,780,220","19,829,856.03","251,706,436"
2025-08-20,"8,611,743","572,237,896","-52,274,710","19,645,987.42","248,938,691"
2025-08-19,"8,279,842","477,889,208","-10,073,590","22,559,036.17","250,196,431"
2025-08-18,"8,459,665","457,868,280","5,493,630","23,071,591.18","249,893,217"
2025-08-15,"7,913,302","454,217,776","7,259,570","22,462,390.33","248,323,823"
2025-08-14,"7,941,972","486,603,622","-4,064,070","22,331,250.57","245,039,278"
2025-08-13,"8,864,976","573,873,489","4,913,640","22,289,754.10","242,381,988"
2025-08-12,"7,513,604","430,747,663","-7,237,540","22,680,736.56","243,266,413"
2025-08-11,"7,230,198","437,210,225","-3,851,040","22,207,082.57","242,509,549"
2025-08-08,"7,010,275","432,109,965","-4,016,190","21,236,502.53","238,616,660"
2025-08-07,"7,106,666","467,380,441","37,083,420","21,129,176.29","237,514,138"
2025-08-06,"6,009,196","361,183,155","-8,956,380","20,632,960.21","236,036,507"
2025-08-05,"6,610,002","380,074,357","10,117,430","20,737,976.56","235,386,899"
2025-08-04,"6,547,254","339,596,557","7,123,090","20,101,837.58","233,410,441"
2025-08-01,"6,950,284","404,788,588","-3,403,960","20,556,435.19","232,588,286"
2025-07-31,"7,079,439","412,096,428","8,816,330","20,216,108.21","231,315,484"
2025-07-30,"6,095,108","336,226,659","11,088,910","19,460,048.38","229,782,020"
2025-07-29,"6,685,041","390,574,563","-12,372,870","19,252,523.54","229,520,930"
2025-07-28,"5,994,460","323,398,574","4,729,030","19,809,282.32","230,048,512"
2025-07-25,"5,964,609","302,559,239","9,231,290","19,318,705.61","229,580,905"
2025-07-24,"6,322,628","348,331,144","8,210,570","19,124,163.28","229,227,323"
2025-07-23,"6,238,239","360,908,872","8,484,320","18,992,997.99","227,983,407"
2025-07-22,"6,889,507","449,009,636","11,711,830","18,498,261.42","224,554,075"
2025-07-21,"5,279,612","316,345,580","4,723,450","18,734,500.59","229,461,412"
2025-07-18,"6,130,525","381,297,826","29,685,330","18,838,743.18","228,221,800"
2025-07-17,"5,826,064","343,559,779","3,509,800","18,139,143.17","227,981,188"
2025-07-16,"6,375,009","391,295,025","13,819,730","18,024,813.29","226,872,563"
2025-07-15,"5,429,807","319,870,598","17,243,550","17,052,313.44","226,722,755"
2025-07-14,"4,853,105","281,512,623","-326,360","16,894,813.70","224,437,905"
2025-07-11,"7,092,180","337,982,404","15,668,050","17,281,274.92","224,058,848"
2025-07-10,"5,553,213","327,393,549","8,354,090","17,717,084.43","224,196,382"
2025-07-09,"5,646,619","322,528,415","8,261,670","17,364,644.83","222,618,366"
2025-07-08,"5,407,011","282,705,631","1,349,680","16,935,122.30","222,090,108"
2025-07-07,"4,962,856","269,071,472","-3,076,900","16,688,096.12","221,554,232"
2025-07-04,"5,632,671","331,133,814","2,253,910","17,452,394.94","223,751,199"
2025-07-03,"6,029,111","383,825,214","27,499,500","17,524,305.21","225,841,159"
2025-07-02,"5,101,662","304,435,099","7,562,440","16,815,185.39","225,315,996"
2025-07-01,"6,415,082","421,991,169","46,750,580","16,622,251.86","225,161,417"
2025-06-30,"5,791,190","365,764,595","-5,213,150","16,233,671.50","226,292,649"
2025-06-27,"6,064,087","374,841,846","27,297,270","16,026,041.25","225,228,402"
2025-06-26,"6,410,607","399,984,776","27,274,070","15,467,249.88","224,719,554"
2025-06-25,"6,335,015","401,074,986","30,555,720","15,604,750.09","224,189,539"
2025-06-24,"7,011,455","401,630,916","26,992,620","15,173,124.03","224,318,492"
2025-06-23,"5,617,706","314,404,805","-12,774,800","14,838,850.79","224,437,549"
2025-06-20,"6,862,237","463,891,770","-3,712,580","15,385,620.54","224,123,355"
2025-06-19,"5,689,009","337,907,299","-14,907,820","15,637,876.95","225,036,136"
2025-06-18,"6,399,812","394,797,009","15,489,250","15,564,591.07","224,753,502"
2025-06-17,"6,125,208","374,245,537","5,515,720","15,810,346.36","224,287,636"
2025-06-16,"5,524,506","298,283,417","274,520","16,242,052.05","224,418,003"
2025-06-13,"6,908,522","374,682,954","-2,727,320","16,687,671.58","223,309,933"
2025-06-12,"5,845,048","350,086,370","964,410","16,768,328.98","223,680,596"
2025-06-11,"6,677,404","411,974,082","5,963,360","16,486,348.95","222,185,864"
2025-06-10,"6,797,923","402,770,551","36,389,480","16,535,787.13","220,627,683"
2025-06-09,"5,424,065","307,755,303","-1,194,600","16,351,760.04","222,414,142"
2025-06-06,"5,283,685","306,326,887","-13,820,420","16,640,642.39","222,353,111"
2025-06-05,"6,479,408","370,407,613","590,700","17,289,069.77","222,431,847"
2025-06-04,"6,939,766","416,698,575","19,683,830","17,455,936.68","222,950,998"
2025-06-03,"6,212,282","356,029,228","-14,346,340","17,481,310.32","221,857,705"
2025-06-02,"6,799,184","357,964,491","-48,426,810","16,283,285.59","221,528,741"
2025-05-29,"7,561,868","480,476,847","-20,480,700","17,266,087.92","221,181,413"
2025-05-28,"5,670,506","332,260,752","635,940","17,417,323.76","220,246,356"
2025-05-27,"5,893,760","319,554,934","-11,891,990","17,256,620.34","220,599,614"
2025-05-26,"5,330,804","303,248,571","12,222,530","17,418,807.24","220,657,750"
2025-05-23,"5,316,070","313,775,509","-2,148,990","17,189,090.27","219,546,355"
2025-05-22,"5,976,457","303,639,249","1,178,390","18,119,787.12","220,045,068"
2025-05-21,"5,594,779","304,825,349","28,372,230","17,892,275.19","217,856,446"
2025-05-20,"5,030,140","281,060,270","4,103,490","17,688,722.19","217,435,458"
2025-05-19,"6,118,958","336,411,887","-12,074,270","17,176,124.01","216,535,926"
2025-05-16,"6,558,510","349,825,446","15,477,850","17,704,150.63","216,410,512"
2025-05-15,"6,398,847","352,701,130","7,747,020","18,125,663.20","213,312,461"
2025-05-14,"6,994,105","435,325,777","43,419,500","17,838,969.25","212,011,750"
2025-05-13,"6,807,098","414,876,050","14,333,030","17,023,505.79","210,508,471"
2025-05-12,"5,246,162","286,880,121","16,297,510","16,652,869.61","210,111,994"
2025-05-09,"5,297,103","303,145,142","22,288,380","15,815,088.62","209,817,781"
2025-05-08,"4,516,660","255,842,394","1,247,260","15,541,765.50","209,567,416"
2025-05-07,"5,075,266","276,452,299","11,248,760","15,374,401.78","209,439,756"
2025-05-06,"5,768,063","314,921,423","14,492,420","14,276,302.57","209,482,846"
2025-05-05,"7,760,468","396,674,099","24,905,770","12,700,218.79","208,867,379"
2025-05-02,"5,955,569","339,534,825","38,773,890","12,220,198.73","209,350,024"
2025-04-30,"5,103,616","282,189,467","-1,304,120","11,457,088.34","209,669,664"
2025-04-29,"4,654,115","250,105,465","10,153,010","10,907,830.31","209,008,974"
2025-04-28,"3,948,682","222,995,069","6,085,660","10,772,941.10","208,154,193"
2025-04-25,"4,961,167","298,510,240","12,674,920","10,286,061.65","208,844,451"
2025-04-24,"4,358,134","248,994,902","-5,335,700","9,780,683.13","210,093,888"
2025-04-23,"5,314,940","275,548,700","25,402,550","9,224,825.82","210,393,071"
2025-04-22,"4,881,720","250,003,984","-5,726,390","8,653,059.69","210,931,695"
2025-04-21,"4,486,948","213,646,250","140,770","8,576,292.12","212,486,633"
2025-04-18,"3,792,878","201,639,077","-14,163,210","8,296,523.32","215,979,291"
2025-04-17,"4,599,431","257,584,164","-12,666,440","8,010,409.70","216,020,028"
2025-04-16,"5,216,346","296,550,497","-17,304,440","8,465,133.70","214,556,685"
2025-04-15,"5,242,983","305,561,723","768,230","7,796,125.55","213,994,817"
2025-04-14,"7,665,646","474,947,203","-13,224,590","6,953,795.14","212,803,656"
2025-04-11,"9,129,660","527,108,374","31,169,890","5,089,004.75","213,955,980"
2025-04-10,"5,329,120","208,504,485","-6,732,240","4,256,366.35","222,431,586"
2025-04-09,"12,614,257","590,040,522","-28,320,310","4,441,026.94","223,774,825"
2025-04-08,"12,393,863","577,950,957","-33,510,010","4,810,000.47","256,744,362"
2025-04-07,"5,683,302","166,095,041","12,710,090","8,688,671.94","285,225,570"
2025-04-02,"4,985,282","240,146,859","-1,306,260","7,290,135.29","298,816,467"
2025-04-01,"5,826,078","278,254,400","-5,152,270","7,487,864.67","298,957,983"
2025-03-31,"8,683,910","437,475,392","-31,672,980","7,727,753.34","300,312,922"
2025-03-28,"6,814,236","327,112,874","-29,605,990","7,670,311.35","316,022,422"
2025-03-27,"5,608,186","279,802,802","-35,642,370","7,488,830.44","321,121,612"
2025-03-26,"4,406,501","223,198,487","-53,610","7,182,690.14","321,865,442"
2025-03-25,"4,993,587","256,973,561","6,072,160","7,050,366.29","322,275,801"
2025-03-24,"5,021,528","251,044,538","-10,181,200","7,057,320.20","323,759,132"
2025-03-21,"6,429,617","333,354,118","-16,255,280","7,235,194.10","324,119,474"
2025-03-20,"5,714,382","278,247,603","21,399,040","10,256,021.90","324,238,426"
2025-03-19,"6,087,757","316,992,611","-32,502,290","11,276,724.94","324,290,087"
2025-03-18,"5,824,074","282,886,860","-4,309,370","12,827,721.40","324,691,148"
2025-03-17,"6,360,352","310,401,135","-7,425,360","12,956,943.11","325,360,733"
2025-03-14,"7,243,124","348,283,533","-10,600,620","13,850,036.96","325,694,533"
2025-03-13,"7,430,996","378,659,811","-20,294,410","14,765,717.37","326,414,581"
2025-03-12,"6,682,514","350,646,223","-15,166,650","15,081,456.73","327,694,493"
2025-03-11,"8,053,156","428,932,802","-42,759,090","15,239,708.09","325,806,691"
2025-03-10,"6,345,999","354,962,067","-25,518,660","17,184,272.92","327,246,302"
2025-03-07,"6,465,829","367,291,980","-25,388,250","18,142,518.63","327,851,463"
2025-03-06,"6,624,545","360,345,720","-24,534,530","19,217,969.13","328,609,499"
2025-03-05,"7,220,068","369,732,472","-12,522,570","19,571,457.20","328,033,352"
2025-03-04,"7,667,305","415,745,130","-48,460,300","18,918,374.84","326,111,501"
2025-03-03,"7,315,722","439,596,984","-48,067,670","19,316,057.85","324,050,396"
2025-02-27,"8,994,191","549,961,479","-40,656,780","21,929,123.36","324,283,915"
2025-02-26,"6,886,556","383,306,082","-1,555,620","23,155,612.83","325,413,294"
2025-02-25,"7,531,906","412,097,170","-45,959,520","23,202,660.89","324,483,022"
2025-02-24,"7,075,015","373,514,736","-17,220,620","24,731,506.04","323,434,570"
2025-02-21,"7,160,637","400,289,543","15,614,720","25,061,155.31","321,783,865"
2025-02-20,"7,049,129","391,059,983","-14,171,570","24,885,831.39","321,311,666"
2025-02-19,"7,287,234","389,633,272","-1,226,020","25,355,358.83","319,292,844"
2025-02-18,"6,663,218","339,491,493","7,875,120","25,252,532.39","316,399,036"
2025-02-17,"7,348,992","371,896,633","23,908,510","24,480,672.86","314,922,833"
2025-02-14,"7,543,572","415,069,809","-20,847,770","23,690,338.09","313,574,044"
2025-02-13,"7,333,190","386,860,774","-217,330","23,722,085.94","313,023,678"
2025-02-12,"6,224,128","378,582,968","2,102,180","23,725,009.98","311,523,857"
2025-02-11,"5,923,166","355,049,928","9,137,490","23,614,760.49","309,154,271"
2025-02-10,"5,799,480","334,793,847","-17,183,380","22,307,662.28","308,721,920"
2025-02-07,"5,980,328","362,285,982","13,238,370","22,832,376.54","306,034,473"
2025-02-06,"5,581,052","341,201,513","3,141,690","21,990,889.03","305,934,753"
2025-02-05,"5,984,578","358,769,679","24,842,680","20,743,300.75","305,601,146"
2025-02-04,"6,940,459","422,445,543","-12,966,900","18,829,683.72","305,710,045"
2025-02-03,"7,689,151","525,040,931","-68,357,410","20,417,932.80","305,187,136"
