證券代碼,年月日,上市別,TSE 產業別,收盤價(元),成交量(千股),成交值(千元),市值(百萬元),週轉率％,流通在外股數(千股)
2881 富邦金,2026/9/18,TSE,17,150.5,"28,248","4,239,977","2,108,108",0.2017,"14,007,365"
2882 國泰金,2026/9/18,TSE,17,110.5,"43,826","4,833,343","1,620,948",0.2988,"14,669,210"
2886 兆豐金,2026/9/18,TSE,17,51.1,"47,531","2,416,772","757,986",0.3204,"14,833,378"
2891 中信金,2026/9/18,TSE,17,69.5,"75,667","5,278,728","1,367,477",0.3846,"19,675,933"
2002 中鋼,2026/9/18,TSE,10,18.75,"25,507","478,931","295,029",0.1621,"15,734,861"
2884 玉山金,2026/9/18,TSE,17,46.4,"91,400","4,198,198","822,371",0.5157,"17,723,510"
2892 第一金,2026/9/18,TSE,17,39.8,"52,942","2,098,682","572,303",0.3682,"14,379,469"
5880 合庫金,2026/9/18,TSE,17,27.3,"30,844","841,406","438,792",0.1919,"16,072,960"
1216 統一,2026/9/18,TSE,02,75,"17,030","1,278,886","426,151",0.2997,"5,682,015"
4904 遠傳,2026/9/18,TSE,27,107,"12,676","1,352,501","386,024",0.3514,"3,607,705"
2881 富邦金,2026/9/17,TSE,17,151.5,"14,045","2,144,039","2,122,116",0.1003,"14,007,365"
2882 國泰金,2026/9/17,TSE,17,112,"19,698","2,215,151","1,642,952",0.1343,"14,669,210"
2886 兆豐金,2026/9/17,TSE,17,51.9,"24,220","1,247,303","769,852",0.1633,"14,833,378"
2891 中信金,2026/9/17,TSE,17,71.2,"43,768","3,114,760","1,400,926",0.2224,"19,675,933"
2002 中鋼,2026/9/17,TSE,10,18.7,"17,570","328,898","294,242",0.1117,"15,734,861"
2884 玉山金,2026/9/17,TSE,17,47.3,"51,011","2,395,350","838,322",0.2878,"17,723,510"
2892 第一金,2026/9/17,TSE,17,40.75,"32,824","1,331,489","585,963",0.2283,"14,379,469"
5880 合庫金,2026/9/17,TSE,17,27.55,"20,508","562,550","442,810",0.1276,"16,072,960"
1216 統一,2026/9/17,TSE,02,75.5,"9,416","709,041","428,992",0.1657,"5,682,015"
4904 遠傳,2026/9/17,TSE,27,106.5,"7,012","742,095","384,221",0.1944,"3,607,705"
2881 富邦金,2026/9/16,TSE,17,153,"20,793","3,159,893","2,143,127",0.1484,"14,007,365"
2882 國泰金,2026/9/16,TSE,17,112.5,"27,370","3,051,325","1,650,286",0.1866,"14,669,210"
2886 兆豐金,2026/9/16,TSE,17,50.9,"26,462","1,342,432","755,019",0.1784,"14,833,378"
2891 中信金,2026/9/16,TSE,17,70.8,"50,439","3,548,359","1,393,056",0.2563,"19,675,933"
2002 中鋼,2026/9/16,TSE,10,18.65,"26,366","492,359","293,455",0.1676,"15,734,861"
2884 玉山金,2026/9/16,TSE,17,46.45,"41,914","1,933,636","823,257",0.2365,"17,723,510"
2892 第一金,2026/9/16,TSE,17,40,"24,115","958,439","575,179",0.1677,"14,379,469"
5880 合庫金,2026/9/16,TSE,17,27.35,"19,851","537,892","439,595",0.1235,"16,072,960"
1216 統一,2026/9/16,TSE,02,74.5,"7,214","537,069","423,310",0.127,"5,682,015"
4904 遠傳,2026/9/16,TSE,27,105,"6,256","655,789","378,809",0.1734,"3,607,705"
2881 富邦金,2026/9/15,TSE,17,151,"15,894","2,403,353","2,115,112",0.1135,"14,007,365"
2882 國泰金,2026/9/15,TSE,17,110,"16,604","1,837,600","1,613,613",0.1132,"14,669,210"
