靡ㄩ絏,るら,カ,TSE 玻穨,Μ絃基(じ),Θユ秖(),Θユ(じ),カ(κ窾じ),秅锣瞯,瑈硄计()
2303 羛筿,2026/9/18,TSE,24,156,"306,815","47,877,287","1,960,935",2.4408,"12,570,094"
2382 約笷,2026/9/18,TSE,25,343,"21,601","7,412,072","1,408,916",0.5259,"4,107,627"
2317 翬,2026/9/18,TSE,31,250.5,"44,803","11,233,127","3,525,974",0.3183,"14,075,746"
2412 い地筿,2026/9/18,TSE,27,145.5,"28,080","4,079,326","1,128,708",0.362,"7,757,447"
2603 篴,2026/9/18,TSE,15,240.5,"10,734","2,588,723","520,693",0.4958,"2,165,043"
1301 鹅,2026/9/18,TSE,03,65,"29,305","1,903,175","413,773",0.4604,"6,365,741"
3231 絥承,2026/9/18,TSE,25,186.5,"44,060","8,275,041","639,666",1.2846,"3,429,842"
2356 璣穨笷,2026/9/18,TSE,25,61.7,"22,101","1,364,486","221,347",0.6161,"3,587,475"
2301 腳,2026/9/18,TSE,25,282,"24,262","6,864,319","653,142",1.0475,"2,316,108"
2395 地,2026/9/18,TSE,25,690,"3,490","2,403,770","599,731",0.4015,"869,176"
2303 羛筿,2026/9/17,TSE,24,147.5,"256,821","37,743,721","1,854,089",2.0431,"12,570,094"
2382 約笷,2026/9/17,TSE,25,344,"16,289","5,592,441","1,413,024",0.3966,"4,107,627"
2317 翬,2026/9/17,TSE,31,250.5,"26,522","6,681,491","3,525,974",0.1884,"14,075,746"
2412 い地筿,2026/9/17,TSE,27,145,"15,263","2,200,989","1,124,830",0.1968,"7,757,447"
2603 篴,2026/9/17,TSE,15,242.5,"8,766","2,102,085","525,023",0.4049,"2,165,043"
1301 鹅,2026/9/17,TSE,03,64.6,"26,190","1,675,782","411,227",0.4114,"6,365,741"
3231 絥承,2026/9/17,TSE,25,186.5,"31,292","5,850,414","639,666",0.9123,"3,429,842"
2356 璣穨笷,2026/9/17,TSE,25,61.5,"7,811","483,489","220,630",0.2177,"3,587,475"
2301 腳,2026/9/17,TSE,25,278,"10,539","2,947,677","643,878",0.455,"2,316,108"
2395 地,2026/9/17,TSE,25,686,"3,120","2,157,563","596,255",0.359,"869,176"
2303 羛筿,2026/9/16,TSE,24,142,"117,165","16,520,423","1,784,953",0.9321,"12,570,094"
2382 約笷,2026/9/16,TSE,25,340.5,"16,995","5,739,892","1,398,647",0.4137,"4,107,627"
2317 翬,2026/9/16,TSE,31,248,"19,737","4,880,814","3,490,785",0.1402,"14,075,746"
2412 い地筿,2026/9/16,TSE,27,143.5,"14,825","2,120,246","1,113,194",0.1911,"7,757,447"
2603 篴,2026/9/16,TSE,15,239,"12,583","2,996,617","517,445",0.5812,"2,165,043"
1301 鹅,2026/9/16,TSE,03,62.4,"18,778","1,174,883","397,222",0.295,"6,365,741"
3231 絥承,2026/9/16,TSE,25,183,"32,629","5,967,585","627,661",0.9513,"3,429,842"
2356 璣穨笷,2026/9/16,TSE,25,61.7,"8,635","528,075","221,347",0.2407,"3,587,475"
2301 腳,2026/9/16,TSE,25,277,"13,634","3,742,504","641,562",0.5887,"2,316,108"
2395 地,2026/9/16,TSE,25,695,"2,260","1,552,948","604,077",0.26,"869,176"
2303 羛筿,2026/9/15,TSE,24,138.5,"102,009","14,225,802","1,740,958",0.8115,"12,570,094"
2382 約笷,2026/9/15,TSE,25,333,"7,988","2,667,055","1,367,840",0.1945,"4,107,627"
2317 翬,2026/9/15,TSE,31,246.5,"15,812","3,918,516","3,469,672",0.1123,"14,075,746"
2412 い地筿,2026/9/15,TSE,27,143.5,"16,914","2,421,792","1,113,194",0.218,"7,757,447"
2603 篴,2026/9/15,TSE,15,233.5,"6,962","1,627,111","505,538",0.3216,"2,165,043"
1301 鹅,2026/9/15,TSE,03,62,"17,895","1,106,799","394,676",0.2811,"6,365,741"
3231 絥承,2026/9/15,TSE,25,182.5,"21,186","3,861,163","625,946",0.6177,"3,429,842"
2356 璣穨笷,2026/9/15,TSE,25,60.5,"9,229","566,109","217,042",0.2573,"3,587,475"
2301 腳,2026/9/15,TSE,25,274,"17,907","4,985,979","634,614",0.7732,"2,316,108"
2395 地,2026/9/15,TSE,25,685,"3,502","2,424,818","595,385",0.4029,"869,176"
2303 羛筿,2026/9/14,TSE,24,142.5,"132,513","18,527,866","1,791,238",1.0542,"12,570,094"
2382 約笷,2026/9/14,TSE,25,332.5,"8,031","2,666,230","1,365,786",0.1955,"4,107,627"
2317 翬,2026/9/14,TSE,31,248.5,"25,260","6,232,907","3,497,823",0.1795,"14,075,746"
2412 い地筿,2026/9/14,TSE,27,142.5,"18,796","2,659,548","1,105,436",0.2423,"7,757,447"
2603 篴,2026/9/14,TSE,15,237,"12,908","3,037,132","513,115",0.5962,"2,165,043"
1301 鹅,2026/9/14,TSE,03,62.9,"23,847","1,489,165","400,405",0.3746,"6,365,741"
3231 絥承,2026/9/14,TSE,25,181,"36,189","6,560,002","620,801",1.0551,"3,429,842"
2356 璣穨笷,2026/9/14,TSE,25,61.7,"8,218","506,348","221,347",0.2291,"3,587,475"
2301 腳,2026/9/14,TSE,25,277.5,"12,338","3,430,075","642,720",0.5327,"2,316,108"
2395 地,2026/9/14,TSE,25,670,"2,641","1,764,503","582,348",0.3039,"869,176"
2303 羛筿,2026/9/11,TSE,24,140.5,"120,877","16,881,145","1,766,098",0.9616,"12,570,094"
2382 約笷,2026/9/11,TSE,25,336.5,"11,011","3,678,490","1,382,217",0.2681,"4,107,627"
2317 翬,2026/9/11,TSE,31,248,"24,164","5,997,882","3,490,785",0.1717,"14,075,746"
2412 い地筿,2026/9/11,TSE,27,140.5,"14,548","2,038,171","1,089,921",0.1875,"7,757,447"
2603 篴,2026/9/11,TSE,15,234.5,"8,626","2,017,707","507,703",0.3984,"2,165,043"
1301 鹅,2026/9/11,TSE,03,64.6,"12,666","818,453","411,227",0.199,"6,365,741"
3231 絥承,2026/9/11,TSE,25,185.5,"43,003","7,973,484","636,236",1.2538,"3,429,842"
2356 璣穨笷,2026/9/11,TSE,25,62,"9,980","614,758","222,423",0.2782,"3,587,475"
2301 腳,2026/9/11,TSE,25,277,"21,494","5,925,570","641,562",0.928,"2,316,108"
2395 地,2026/9/11,TSE,25,674,"4,777","3,231,153","585,825",0.5496,"869,176"
2303 羛筿,2026/9/10,TSE,24,142.5,"204,307","29,244,478","1,791,238",1.6253,"12,570,094"
2382 約笷,2026/9/10,TSE,25,336,"13,496","4,516,625","1,380,163",0.3286,"4,107,627"
2317 翬,2026/9/10,TSE,31,251,"40,233","10,054,588","3,533,012",0.2858,"14,075,746"
2412 い地筿,2026/9/10,TSE,27,139.5,"7,123","992,026","1,082,164",0.0918,"7,757,447"
2603 篴,2026/9/10,TSE,15,231,"6,710","1,549,749","500,125",0.3099,"2,165,043"
1301 鹅,2026/9/10,TSE,03,65.6,"21,995","1,435,754","417,593",0.3455,"6,365,741"
3231 絥承,2026/9/10,TSE,25,185,"88,549","16,559,745","634,521",2.5817,"3,429,842"
2356 璣穨笷,2026/9/10,TSE,25,62.6,"15,958","1,004,406","224,576",0.4448,"3,587,475"
2301 腳,2026/9/10,TSE,25,291,"19,920","5,780,218","673,987",0.8601,"2,316,108"
2395 地,2026/9/10,TSE,25,659,"1,508","990,227","572,787",0.1735,"869,176"
